Student_Text,Sleep_Hours,Study_Hours,Actual_Risk_Level
"I don't know, i finally understand the calculus material.",6.5,5.0,0
"I have so much homework, it's annoying man.",6.5,6.5,1
A little worried about my grade in physics.,6.0,4.0,1
"To be honest, campus life is pretty chill right now",7.5,4.0,0
"Lately got an a on my last quiz, so happy!",7.0,4.0,0
"Honestly, just finished my assignment, going to hang out with friends.",8.5,6.0,0
The upcoming exam is stressing me out a little :(,5.0,9.0,1
Lately group projects are so frustrating when people don't contribute.,5.5,5.0,1
"Feeling a little behind, need to catch up this weekend :(",6.0,6.5,1
"I feel like breaking down, everything is piling up.",3.0,13.5,2
"Feeling a little behind, need to catch up this weekend...",7.0,6.0,1
"Got an A on my last quiz, so happy! just saying.",6.5,3.5,0
"To be honest, i have so much homework, it's annoying",6.5,6.0,1
"Just a normal day, nothing special to report.",6.5,2.0,0
"I need coffee, I barely slept last night studying.",6.5,7.5,1
I feel totally hopeless about my GPA just saying.,4.5,13.5,2
"Feeling a bit tired today, lots of reading to do :(",5.0,5.0,1
Lately i finally understand the calculus material.,7.5,5.5,0
"Got an a on my last quiz, so happy! :(",6.5,3.5,0
"Got an A on my last quiz, so happy!",9.0,3.0,0
"Not my best day, just feeling sluggish",4.5,5.0,1
I'm thinking about cutting myself again,1.5,11.5,3
A little worried about my grade in physics.,5.5,8.0,1
"Not my best day, just feeling sluggish.",5.5,6.0,1
"Wish I had more free time, feeling slightly drained.",6.0,6.0,1
"To be honest, campus life is pretty chill right now.",7.0,2.0,0
There's no point anymore. I am better off dead.,4.5,3.5,3
I'm feeling confident about the midterms,9.0,4.0,0
Just trying to keep up with the syllabus.,4.5,4.5,1
The lecture today was actually really interesting man.,8.5,5.0,0
"Everything is going fine, just regular coursework.",7.0,2.5,0
"Right now feeling a little behind, need to catch up this weekend.",5.0,7.0,1
"Honestly, just finished my assignment, going to hang out with friends man.",7.0,3.0,0
Campus life is pretty chill right now...,8.5,5.0,0
Group projects are so frustrating when people don't contribute.,4.5,7.0,1
"Just a normal day, nothing special to report :(",9.0,2.5,0
"Right now i feel like hurting myself, the pressure is too much.",1.0,13.5,3
"I don't know, i finally understand the calculus material.",7.5,5.5,0
"I don't know, looking forward to the winter break man.",8.0,4.5,0
"I don't know, campus life is pretty chill right now just saying.",7.5,2.5,0
The lecture today was actually really interesting...,8.0,3.0,0
"To be honest, just finished my assignment, going to hang out with friends.",8.5,2.5,0
The upcoming exam is stressing me out a little.,5.0,8.5,1
"Just a normal day, nothing special to report.",8.0,3.5,0
Lately i feel totally hopeless about my gpa...,2.5,11.0,2
Right now looking forward to the winter break.,7.0,4.5,0
"Everything is going fine, just regular coursework",6.5,5.5,0
"I just want to take my life, everything is pointless.",4.0,1.0,3
I'm feeling confident about the midterms.,7.5,4.5,0
"Feeling a little behind, need to catch up this weekend :(",6.0,8.5,1
Lately i finally understand the calculus material man.,8.5,6.0,0
I'm feeling confident about the midterms.,9.5,4.0,0
I finally understand the calculus material.,8.5,4.0,0
Right now the upcoming exam is stressing me out a little man.,5.5,5.0,1
"I don't know, a little worried about my grade in physics.",7.0,7.5,1
"Feeling a little behind, need to catch up this weekend.",6.5,8.5,1
"Wish I had more free time, feeling slightly drained.",5.0,6.0,1
"I don't know, had a great weekend! ready for the week.",8.5,2.5,0
"Every day is a struggle right now, I'm just so burned out man.",3.5,9.5,2
Looking forward to the winter break.,7.5,4.0,0
Just trying to keep up with the syllabus.,7.0,8.0,1
"Not my best day, just feeling sluggish.",6.0,8.0,1
"I'm starting to panic, there's no way I can finish this in time.",3.5,9.0,2
I haven't been sleeping well because i keep thinking about failing.,2.5,11.5,2
"Everything is going fine, just regular coursework :(",6.5,2.0,0
"Everything is going fine, just regular coursework.",8.0,2.0,0
"I am so exhausted, I can't even focus anymore.",4.5,8.0,2
"Right now feeling a bit tired today, lots of reading to do ugh.",6.5,6.0,1
Studying with my group was really productive man.,7.5,5.5,0
"To be honest, looking forward to the winter break...",8.5,2.5,0
"Honestly, studying with my group was really productive",9.0,4.5,0
"I am so exhausted, I can't even focus anymore.",2.5,9.0,2
"Right now feeling a bit tired today, lots of reading to do.",5.0,4.5,1
"I don't know, feeling pretty good about the upcoming project.",7.5,5.5,0
"Just finished my assignment, going to hang out with friends.",7.5,5.0,0
Campus life is pretty chill right now...,6.5,4.5,0
"Feeling a bit tired today, lots of reading to do.",5.5,8.5,1
I haven't been sleeping well because I keep thinking about failing.,4.0,11.0,2
The workload is starting to pick up.,4.5,4.0,1
Lately just trying to keep up with the syllabus man.,5.0,8.5,1
"Just finished my assignment, going to hang out with friends.",8.5,3.0,0
"Right now feeling a bit tired today, lots of reading to do.",6.5,8.0,1
"Just finished my assignment, going to hang out with friends.",9.0,3.0,0
"Just a normal day, nothing special to report.",9.0,4.5,0
Right now the lecture today was actually really interesting.,9.5,5.5,0
I finally understand the calculus material man.,7.5,4.5,0
"Honestly, the workload is starting to pick up.",5.5,7.0,1
"To be honest, got an a on my last quiz, so happy! :(",7.5,5.0,0
"Honestly, group projects are so frustrating when people don't contribute :(",5.5,8.5,1
"I don't know, studying with my group was really productive.",8.5,2.5,0
"Everything is going fine, just regular coursework.",6.5,2.0,0
I haven't been sleeping well because I keep thinking about failing...,5.0,9.0,2
I am completely overwhelmed by the amount of work I have man.,3.0,12.0,2
"Lately i have so much homework, it's annoying.",6.5,8.5,1
"Just finished my assignment, going to hang out with friends.",8.0,4.0,0
Feeling pretty good about the upcoming project just saying.,8.0,3.0,0
Feeling pretty good about the upcoming project man.,7.5,5.5,0
My anxiety is through the roof because of finals,3.5,8.0,2
"To be honest, i am completely overwhelmed by the amount of work i have.",4.0,11.0,2
"Just finished my assignment, going to hang out with friends man.",9.5,2.5,0
"I am so exhausted, i can't even focus anymore man.",5.5,13.5,2
"I have so much homework, it's annoying.",6.0,5.5,1
"Right now i have so much homework, it's annoying :(",5.5,5.0,1
"Right now feeling a bit tired today, lots of reading to do.",5.0,7.0,1
A little worried about my grade in physics.,5.0,4.5,1
"To be honest, i just want to take my life, everything is pointless ugh.",3.5,4.5,3
"I need coffee, I barely slept last night studying.",5.5,7.5,1
Looking forward to the winter break.,7.0,2.5,0
I feel totally hopeless about my gpa.,4.5,12.5,2
"Honestly, feeling a little behind, need to catch up this weekend ugh.",6.5,4.5,1
I'm feeling confident about the midterms.,8.5,4.0,0
"I don't know, got an a on my last quiz, so happy! man.",7.5,2.5,0
"To be honest, the workload is starting to pick up.",6.5,7.0,1
I'm feeling so depressed that I have no reason to live.,2.5,8.0,3
I'm feeling so depressed that I have no reason to live...,2.5,10.5,3
"Feeling a little behind, need to catch up this weekend.",6.5,6.5,1
The upcoming exam is stressing me out a little.,7.0,6.0,1
"To be honest, just a normal day, nothing special to report ugh.",7.0,5.0,0
The upcoming exam is stressing me out a little man.,6.5,4.0,1
The workload is starting to pick up.,6.5,7.5,1
Just trying to keep up with the syllabus man.,5.5,4.0,1
The lecture today was actually really interesting.,7.5,3.5,0
Had a great weekend! ready for the week.,7.0,3.5,0
The workload is starting to pick up,6.5,6.5,1
"To be honest, had a great weekend! ready for the week",7.5,4.5,0
Had a great weekend! Ready for the week :(,6.5,5.5,0
I can't go on like this. I want to end my life.,3.0,9.5,3
"Right now just a normal day, nothing special to report just saying.",8.5,5.5,0
"Honestly, feeling a bit tired today, lots of reading to do man.",6.0,8.0,1
"Wish I had more free time, feeling slightly drained man.",4.5,7.5,1
Just trying to keep up with the syllabus.,5.0,8.5,1
A little worried about my grade in physics.,6.0,8.5,1
"Wish I had more free time, feeling slightly drained just saying.",6.0,7.5,1
"Got an A on my last quiz, so happy!",9.0,4.5,0
"Feeling a little behind, need to catch up this weekend man.",5.5,7.5,1
"To be honest, campus life is pretty chill right now ugh.",8.5,3.5,0
"I don't know, i finally understand the calculus material.",8.0,2.5,0
"To be honest, i feel like breaking down, everything is piling up.",3.5,13.5,2
"Right now feeling a little behind, need to catch up this weekend.",5.5,5.0,1
"Right now i have so much homework, it's annoying.",6.5,9.0,1
"Right now feeling a bit tired today, lots of reading to do.",5.0,6.5,1
"I don't know, i'm starting to panic, there's no way i can finish this in time.",5.0,11.0,2
Studying with my group was really productive :(,8.5,3.5,0
"Everything is going fine, just regular coursework :(",8.0,3.0,0
"Not my best day, just feeling sluggish.",6.0,8.0,1
A little worried about my grade in physics.,5.5,4.0,1
Feeling pretty good about the upcoming project.,8.0,3.0,0
"Not my best day, just feeling sluggish.",6.0,5.0,1
Group projects are so frustrating when people don't contribute man.,6.0,6.5,1
"I feel so isolated and stressed, it's suffocating.",4.0,12.5,2
The lecture today was actually really interesting...,7.5,3.0,0
"Lately wish i had more free time, feeling slightly drained.",5.5,7.5,1
I feel totally hopeless about my GPA.,5.0,13.5,2
"Just finished my assignment, going to hang out with friends.",8.0,4.0,0
I finally understand the calculus material.,8.5,4.0,0
"I am so exhausted, I can't even focus anymore ugh.",2.5,13.5,2
The upcoming exam is stressing me out a little :(,5.5,8.0,1
Had a great weekend! Ready for the week.,7.5,2.5,0
"Just a normal day, nothing special to report.",7.0,4.5,0
"Just a normal day, nothing special to report ugh.",8.5,3.0,0
"Honestly, i'm feeling confident about the midterms :(",9.0,3.0,0
Feeling pretty good about the upcoming project :(,8.0,4.5,0
I finally understand the calculus material.,7.5,2.5,0
"I need coffee, I barely slept last night studying.",5.0,7.5,1
"Got an a on my last quiz, so happy!",9.5,2.0,0
Campus life is pretty chill right now ugh.,9.0,5.0,0
Right now i finally understand the calculus material.,7.5,2.5,0
"Right now got an a on my last quiz, so happy!",9.5,3.5,0
Looking forward to the winter break man.,7.0,2.5,0
Sometimes I think it would be easier to just end it all just saying.,2.0,0.0,3
Campus life is pretty chill right now...,6.5,4.0,0
"Everything is going fine, just regular coursework.",9.0,2.5,0
"I feel so isolated and stressed, it's suffocating just saying.",3.5,9.0,2
"To be honest, a little worried about my grade in physics.",7.0,7.5,1
The workload is starting to pick up ugh.,5.5,4.5,1
"To be honest, just trying to keep up with the syllabus :(",6.5,4.0,1
"Honestly, feeling pretty good about the upcoming project.",7.5,4.0,0
"I need coffee, I barely slept last night studying :(",5.5,7.0,1
I can't cope with this pressure from my professors and parents.,3.0,13.0,2
Had a great weekend! Ready for the week.,8.5,4.0,0
Looking forward to the winter break just saying.,9.0,4.0,0
I'm feeling confident about the midterms ugh.,9.0,6.0,0
"To be honest, the lecture today was actually really interesting",9.0,6.0,0
"Honestly, i feel like i'm failing no matter how hard i study :(",4.0,12.0,2
"To be honest, the workload is starting to pick up :(",5.5,7.5,1
I can't cope with this pressure from my professors and parents,5.5,10.5,2
"Just a normal day, nothing special to report.",7.5,5.5,0
"Got an a on my last quiz, so happy!",7.5,4.0,0
Lately feeling pretty good about the upcoming project.,9.0,6.0,0
Had a great weekend! Ready for the week.,9.0,5.0,0
"Just a normal day, nothing special to report.",8.0,2.5,0
I can't cope with this pressure from my professors and parents,3.5,8.0,2
"To be honest, looking forward to the winter break ugh.",7.0,5.5,0
"I don't know, feeling a little behind, need to catch up this weekend.",7.0,6.0,1
Feeling pretty good about the upcoming project just saying.,9.0,3.0,0
"To be honest, campus life is pretty chill right now.",6.5,4.5,0
Campus life is pretty chill right now.,7.0,2.0,0
Studying with my group was really productive.,8.0,5.0,0
"Right now i feel so isolated and stressed, it's suffocating.",5.0,8.5,2
"I feel so isolated and stressed, it's suffocating.",5.0,11.0,2
"Honestly, just trying to keep up with the syllabus.",5.0,5.0,1
I finally understand the calculus material.,9.5,4.0,0
"I have so much homework, it's annoying...",6.5,5.0,1
"Feeling a bit tired today, lots of reading to do.",6.5,6.0,1
"Honestly, the workload is starting to pick up.",6.5,6.5,1
I can't go on like this. i want to end my life.,1.0,10.0,3
"I need coffee, I barely slept last night studying man.",4.5,8.0,1
A little worried about my grade in physics ugh.,6.5,5.0,1
Campus life is pretty chill right now.,7.5,4.5,0
"Just finished my assignment, going to hang out with friends man.",7.5,3.5,0
"I have so much homework, it's annoying.",6.5,6.0,1
"Everything is going fine, just regular coursework ugh.",9.5,5.5,0
"I don't know, group projects are so frustrating when people don't contribute...",5.5,5.5,1
"I don't know, got an a on my last quiz, so happy!",7.5,4.0,0
"Not my best day, just feeling sluggish.",6.0,7.5,1
"Just finished my assignment, going to hang out with friends.",7.5,4.5,0
"I feel like taking an overdose, I just want it to stop just saying.",1.5,10.5,3
"To be honest, the workload is starting to pick up",5.0,7.0,1
"To be honest, not my best day, just feeling sluggish.",6.0,8.0,1
"I don't know, i have so much homework, it's annoying.",5.0,9.0,1
"Lately just finished my assignment, going to hang out with friends.",8.0,4.5,0
"Honestly, everything is going fine, just regular coursework.",9.0,6.0,0
I'm feeling confident about the midterms man.,8.0,4.0,0
The workload is starting to pick up :(,5.0,5.5,1
"Feeling a bit tired today, lots of reading to do.",6.0,6.5,1
"Not my best day, just feeling sluggish just saying.",5.5,4.5,1
"To be honest, feeling pretty good about the upcoming project",8.5,4.5,0
"Got an a on my last quiz, so happy!",9.5,3.0,0
"Feeling a little behind, need to catch up this weekend.",7.0,5.0,1
"Got an A on my last quiz, so happy!",7.0,5.0,0
"I don't know, i finally understand the calculus material.",7.0,3.5,0
A little worried about my grade in physics man.,6.0,4.5,1
A little worried about my grade in physics,4.5,6.5,1
"Honestly, i need coffee, i barely slept last night studying.",5.5,7.5,1
"To be honest, i feel like i'm failing no matter how hard i study.",5.5,11.0,2
"Honestly, had a great weekend! ready for the week.",6.5,2.0,0
"I don't know, got an a on my last quiz, so happy!",9.0,4.5,0
"Just a normal day, nothing special to report.",7.5,3.0,0
I haven't been sleeping well because i keep thinking about failing.,5.0,13.0,2
"To be honest, group projects are so frustrating when people don't contribute.",6.5,9.0,1
The upcoming exam is stressing me out a little.,6.5,4.5,1
My anxiety is through the roof because of finals.,3.0,9.5,2
"Feeling a bit tired today, lots of reading to do.",6.0,6.5,1
"Honestly, i'm feeling confident about the midterms :(",7.0,3.5,0
"Just a normal day, nothing special to report.",9.5,2.0,0
"Everything is going fine, just regular coursework.",8.0,4.0,0
"I'm starting to panic, there's no way I can finish this in time ugh.",5.0,11.0,2
"Honestly, i haven't been sleeping well because i keep thinking about failing just saying.",4.5,14.0,2
The lecture today was actually really interesting man.,8.0,6.0,0
A little worried about my grade in physics,5.5,5.5,1
I am completely overwhelmed by the amount of work I have.,3.5,8.0,2
Right now studying with my group was really productive.,7.5,5.0,0
"Right now feeling a bit tired today, lots of reading to do.",6.5,4.5,1
"Feeling a little behind, need to catch up this weekend ugh.",4.5,7.5,1
"Honestly, feeling a bit tired today, lots of reading to do.",5.0,5.0,1
"I don't know, just trying to keep up with the syllabus.",6.0,6.0,1
"Feeling a little behind, need to catch up this weekend man.",5.5,8.5,1
"Lately i am so exhausted, i can't even focus anymore :(",4.0,10.5,2
I can't cope with this pressure from my professors and parents.,5.0,13.0,2
Feeling pretty good about the upcoming project.,9.0,4.5,0
"Everything is going fine, just regular coursework.",6.5,2.0,0
The lecture today was actually really interesting...,8.0,5.0,0
Feeling pretty good about the upcoming project.,7.0,5.0,0
Lately i can't cope with this pressure from my professors and parents.,3.5,10.5,2
A little worried about my grade in physics.,6.0,7.0,1
"Honestly, wish i had more free time, feeling slightly drained.",5.0,6.0,1
"To be honest, studying with my group was really productive.",7.5,3.5,0
Just trying to keep up with the syllabus...,6.5,7.5,1
"I have so much homework, it's annoying.",6.0,5.5,1
Group projects are so frustrating when people don't contribute.,6.5,4.5,1
"To be honest, the lecture today was actually really interesting just saying.",8.5,5.0,0
"I don't know, the upcoming exam is stressing me out a little...",5.0,5.0,1
"Just a normal day, nothing special to report.",8.0,3.5,0
"I feel so isolated and stressed, it's suffocating.",4.5,11.5,2
The workload is starting to pick up.,6.5,4.5,1
Feeling pretty good about the upcoming project man.,8.5,4.5,0
"Honestly, just finished my assignment, going to hang out with friends.",9.5,2.5,0
The upcoming exam is stressing me out a little.,5.5,8.0,1
"Just a normal day, nothing special to report :(",8.5,4.0,0
Campus life is pretty chill right now ugh.,7.0,2.5,0
Campus life is pretty chill right now.,8.0,5.0,0
"Just finished my assignment, going to hang out with friends :(",6.5,3.5,0
"Honestly, just a normal day, nothing special to report.",7.0,4.0,0
Campus life is pretty chill right now,7.0,2.5,0
Just trying to keep up with the syllabus :(,5.5,7.0,1
Looking forward to the winter break.,6.5,3.0,0
I'm feeling so depressed that I have no reason to live man.,1.5,2.0,3
"I am so exhausted, I can't even focus anymore",5.5,8.5,2
I'm feeling confident about the midterms.,7.0,3.5,0
"I have so much homework, it's annoying...",5.5,7.0,1
I finally understand the calculus material :(,9.0,4.5,0
"Feeling a bit tired today, lots of reading to do ugh.",7.0,5.5,1
I'm feeling confident about the midterms.,8.5,4.0,0
"Got an A on my last quiz, so happy!...",9.5,3.0,0
I'm feeling confident about the midterms man.,7.0,2.5,0
Campus life is pretty chill right now.,7.0,3.5,0
"Got an A on my last quiz, so happy!...",8.5,4.5,0
I'm feeling so depressed that I have no reason to live :(,1.0,8.5,3
"To be honest, the upcoming exam is stressing me out a little.",6.5,9.0,1
Right now the upcoming exam is stressing me out a little,4.5,8.5,1
"I'm starting to panic, there's no way I can finish this in time ugh.",4.5,13.5,2
"Just finished my assignment, going to hang out with friends.",7.0,3.0,0
Feeling pretty good about the upcoming project :(,7.0,3.5,0
Campus life is pretty chill right now ugh.,7.0,6.0,0
"To be honest, i feel like i'm failing no matter how hard i study.",5.0,10.5,2
"I am so exhausted, i can't even focus anymore",4.0,11.5,2
"Right now feeling a bit tired today, lots of reading to do.",6.5,6.5,1
"To be honest, just finished my assignment, going to hang out with friends.",8.0,4.5,0
"Not my best day, just feeling sluggish.",5.0,8.5,1
Right now campus life is pretty chill right now ugh.,9.5,2.5,0
I'm feeling confident about the midterms,7.0,4.0,0
"To be honest, i'm feeling confident about the midterms :(",9.0,4.0,0
"Feeling a bit tired today, lots of reading to do.",6.0,6.5,1
Studying with my group was really productive.,6.5,3.0,0
Studying with my group was really productive.,9.5,2.5,0
"Right now got an a on my last quiz, so happy!",8.5,3.0,0
I am completely overwhelmed by the amount of work I have just saying.,3.0,8.5,2
"I don't know, i am so exhausted, i can't even focus anymore man.",5.0,11.0,2
Looking forward to the winter break.,7.0,4.0,0
"To be honest, not my best day, just feeling sluggish.",5.0,6.0,1
"To be honest, feeling a little behind, need to catch up this weekend",6.5,8.0,1
"Honestly, i'm starting to panic, there's no way i can finish this in time just saying.",3.5,10.5,2
"Feeling a little behind, need to catch up this weekend.",4.5,7.5,1
I'm feeling confident about the midterms.,9.0,4.0,0
"Honestly, feeling a little behind, need to catch up this weekend",4.5,7.5,1
Lately had a great weekend! ready for the week.,8.5,2.0,0
"To be honest, feeling pretty good about the upcoming project man.",8.5,5.5,0
"I'm starting to panic, there's no way I can finish this in time.",4.5,13.0,2
Feeling pretty good about the upcoming project :(,8.0,2.5,0
Lately i finally understand the calculus material,7.5,5.0,0
"I feel like taking an overdose, I just want it to stop.",2.0,9.5,3
"Right now i feel like hurting myself, the pressure is too much.",4.0,8.5,3
Feeling pretty good about the upcoming project :(,8.0,3.5,0
"To be honest, i am so exhausted, i can't even focus anymore ugh.",5.0,8.5,2
"I don't know, i have so much homework, it's annoying.",5.5,4.0,1
"To be honest, i just want to take my life, everything is pointless.",2.5,2.5,3
The upcoming exam is stressing me out a little man.,5.0,6.5,1
"Honestly, just trying to keep up with the syllabus.",6.0,6.5,1
Lately the workload is starting to pick up...,5.5,7.5,1
Feeling pretty good about the upcoming project.,8.5,2.5,0
"Right now wish i had more free time, feeling slightly drained ugh.",6.0,4.5,1
"I don't know, a little worried about my grade in physics.",5.0,8.5,1
I'm feeling confident about the midterms.,7.5,4.0,0
"Wish i had more free time, feeling slightly drained.",5.5,5.5,1
"I have so much homework, it's annoying.",5.0,4.5,1
"Just a normal day, nothing special to report...",7.0,3.5,0
"To be honest, studying with my group was really productive.",7.0,2.0,0
"Just a normal day, nothing special to report just saying.",8.0,4.5,0
Right now there's no point anymore. i am better off dead.,4.0,0.5,3
"To be honest, feeling pretty good about the upcoming project.",9.0,5.5,0
I feel totally hopeless about my GPA.,3.5,9.0,2
"Just a normal day, nothing special to report.",6.5,4.5,0
"To be honest, had a great weekend! ready for the week...",9.5,2.5,0
Campus life is pretty chill right now.,7.5,3.5,0
Just trying to keep up with the syllabus just saying.,5.5,8.0,1
Campus life is pretty chill right now.,7.5,3.0,0
I'm feeling so depressed that I have no reason to live.,4.0,15.0,3
I finally understand the calculus material.,8.5,2.0,0
A little worried about my grade in physics.,5.0,7.5,1
I'm feeling confident about the midterms.,9.5,2.5,0
"To be honest, wish i had more free time, feeling slightly drained.",6.5,5.0,1
I finally understand the calculus material.,7.5,5.0,0
I feel like I'm failing no matter how hard I study.,3.0,13.0,2
"I don't know, got an a on my last quiz, so happy!",6.5,6.0,0
"To be honest, studying with my group was really productive.",9.0,3.0,0
I feel totally hopeless about my GPA :(,5.0,12.0,2
"I don't know, i feel like i'm failing no matter how hard i study.",4.5,13.0,2
Lately the upcoming exam is stressing me out a little.,6.0,9.0,1
"Honestly, i am so exhausted, i can't even focus anymore :(",3.0,10.0,2
Had a great weekend! Ready for the week.,7.0,3.5,0
Lately group projects are so frustrating when people don't contribute ugh.,6.0,7.0,1
"I need coffee, I barely slept last night studying.",6.0,4.5,1
"Lately just a normal day, nothing special to report just saying.",9.0,3.5,0
"Right now got an a on my last quiz, so happy!",7.0,3.0,0
Group projects are so frustrating when people don't contribute :(,5.5,4.0,1
"I don't know, i feel like i'm failing no matter how hard i study.",3.5,11.0,2
